placeID,corresp,mentions
l10,1,17
l100,3,3
l1000,0,11
l1003,0,15
l1004,0,1
l1005,0,4
l1006,0,25
l1007,0,14
l1008,0,1
l1009,0,1
l101,1,48
l1010,0,3
l1011,0,1
l1012,0,2
l1013,0,2
l1015,0,4
l1016,0,2
l1017,0,16
l1018,0,2
l1019,0,3
l102,0,1
l1020,0,3
l1024,0,12
l1025,0,1
l1026,0,1
l1027,0,1
l1028,0,72
l1029,0,1
l103,1,2
l1030,0,66
l1031,0,22
l1032,0,9
l1033,0,19
l1034,0,4
l1035,0,4
l1037,0,5
l1038,0,2
l1039,0,5
l104,1,24
l1040,0,2
l1041,0,138
l1042,0,2
l1043,0,11
l1044,0,5
l1045,0,2
l1046,0,5
l1047,0,7
l1048,0,84
l1049,0,21
l105,5,10
l1051,0,2
l1052,0,4
l1053,0,1
l1054,0,5
l1055,0,3
l1056,0,30
l1057,0,5
l1058,0,32
l1059,0,18
l106,0,1
l1060,0,35
l1061,0,3
l1064,0,4
l1065,0,1
l1066,0,7
l1067,0,9
l1068,0,11
l1069,0,2
l1070,0,3
l1071,0,4
l1072,0,3
l1073,0,2
l1074,0,46
l1075,0,2
l1076,0,2
l1077,0,18
l1078,0,2
l1079,0,2
l108,2,76
l1080,0,2
l1081,0,1
l1082,0,7
l1084,0,1
l1085,0,2
l1086,0,3
l1087,0,3
l1089,0,2
l109,0,1
l1090,0,1
l1091,0,1
l1092,0,2
l1093,0,1
l1094,0,1
l1095,0,22
l1096,0,6
l1097,0,114
l1098,0,104
l1099,0,3
l110,1,2
l1100,0,1
l1101,0,4
l1102,0,2
l1103,0,16
l1104,0,3
l1105,0,17
l1106,0,1
l1107,0,445
l1108,0,3
l1109,0,1
l111,0,1
l1110,0,1
l1111,0,2
l1112,0,11
l1113,0,1
l1114,0,3
l1115,0,31
l1117,0,1
l1118,0,1
l1119,0,1
l1120,0,1
l1121,0,95
l1122,0,65
l1123,0,12
l1124,0,1
l1125,0,2
l1126,0,3
l1127,0,1
l1128,0,16
l113,5,22
l1130,0,2
l1131,0,1
l1132,0,3
l1134,0,27
l1135,0,3
l1136,0,2
l1137,0,4
l1139,0,10
l1140,0,1
l1141,0,3
l1143,0,11
l1144,0,3
l1145,0,1
l1146,0,5
l1148,0,85
l1149,0,3
l115,0,1
l1150,0,25
l1151,0,22
l1152,0,5
l1153,0,8
l1154,0,2
l1155,0,13
l1156,0,1
l1157,0,2
l1158,0,16
l1159,0,1
l1161,0,30
l1162,0,2
l1163,0,1
l1164,0,1
l1165,0,4
l1166,0,5
l1167,0,9
l1171,0,1
l1172,0,4
l1173,0,1
l1176,0,31
l1177,0,4
l1178,0,1
l118,0,5
l1180,0,1
l1181,0,1
l1182,0,1
l1183,0,1
l1184,0,2
l1185,0,6
l1186,0,4
l1187,0,16
l1189,0,2
l119,1,91
l1192,0,1
l1194,0,14
l1195,0,1
l1196,0,8
l1197,0,2
l1199,0,1
l12,6,15
l120,1,2
l1200,0,6
l1201,0,18
l1202,0,499
l1203,0,3
l1204,0,38
l1205,0,1
l1206,0,20
l1207,0,1
l1208,0,3
l1209,0,75
l121,0,24
l1210,0,1
l1211,0,2
l1212,0,1
l1213,0,1
l1214,0,4
l1215,0,2
l1216,0,3
l1217,0,1
l1218,0,1
l1219,0,6
l122,1,2
l1221,0,33
l1222,0,6
l1223,0,6
l1224,0,2
l1225,0,4
l1226,0,1
l1228,0,8
l1229,0,7
l123,1,1
l1230,0,1
l1231,0,5
l1232,0,1
l1233,0,1
l1234,0,5
l1235,0,1
l1236,0,1
l1237,0,5
l1238,0,3
l1239,0,1
l124,0,1
l1240,0,1
l1241,0,9
l1242,0,2
l1243,0,1
l1244,0,7
l1245,0,4
l1246,0,1
l1247,0,5
l1248,0,4
l1249,0,2
l125,1,2
l1250,0,22
l1251,0,6
l1252,0,9
l1253,0,1
l1254,0,1
l1255,0,85
l1256,0,1
l1257,0,2
l1258,0,8
l1259,0,1
l126,1,10
l1260,0,1
l1261,0,1
l1262,0,1
l1263,0,5
l1264,0,1
l1265,0,1
l1266,0,7
l1267,0,1
l1268,0,5
l1269,0,1
l127,0,9
l1270,0,3
l1271,0,1
l1272,0,1
l1273,0,46
l1274,0,10
l1275,0,3
l1277,0,1
l1278,0,1
l1279,0,1
l128,0,1
l1280,0,12
l1282,0,1
l1283,0,36
l1284,0,71
l1285,0,4
l1286,0,1
l1287,0,1
l1288,0,10
l1289,0,2
l1290,0,10
l1291,0,31
l1292,0,1
l1293,0,4
l1294,0,30
l1296,0,11
l1297,0,31
l1298,0,3
l1299,0,12
l13,0,14
l130,0,14
l1300,0,7
l1301,0,21
l1302,0,7
l1303,0,20
l1304,0,2
l1305,0,1
l1306,0,4
l1307,0,1
l1308,0,4
l1309,0,2
l131,2,12
l1310,0,4
l1311,0,8
l1312,0,16
l1313,0,3
l1314,0,1
l1315,0,3
l1316,0,1
l1317,0,2
l1318,0,6
l1319,0,2
l132,1,1
l1320,0,1
l1321,0,1
l1322,0,74
l1323,0,11
l1324,0,21
l1325,0,15
l1326,0,2
l1327,0,2
l1328,0,5
l1329,0,14
l133,1,19
l1330,0,1
l1331,0,1
l1333,0,11
l1334,0,2
l1336,0,1
l1337,0,7
l1338,0,1
l1339,0,3
l134,5,15
l1343,0,13
l1344,0,2
l1345,0,1
l1347,0,1
l1348,0,6
l1349,0,8
l1350,0,2
l1351,0,2
l1352,0,2
l1354,0,1
l1355,0,2
l1356,0,2
l1357,0,2
l1358,0,3
l136,16,36
l1360,0,4
l1361,0,2
l1362,0,1
l1363,0,3
l1365,0,1
l1366,0,4
l1367,0,2
l1368,0,2
l1369,0,2
l137,1,16
l1371,0,6
l1372,0,1
l1373,0,1
l1374,0,7
l1375,0,1
l1377,0,2
l1378,0,2
l1379,0,2
l138,23,50
l1382,0,3
l1383,0,1
l1384,0,1
l1385,0,2
l1387,0,1
l1388,0,1
l1389,0,1
l139,2,4
l1390,0,14
l1391,0,1
l1392,0,2
l1393,0,1
l1394,0,7
l1395,0,1
l1396,0,2
l1397,0,2
l1398,0,1
l1399,0,5
l140,1,1
l1400,0,1
l1401,0,1
l1404,0,3
l1405,0,5
l1406,0,1
l1408,0,2
l1409,0,10
l1410,0,1
l1411,0,2
l1412,0,1
l1414,0,1
l1415,0,5
l1416,0,1
l1417,0,2
l1418,0,1
l142,3,53
l1421,0,3
l1422,0,7
l1423,0,1
l1424,0,2
l1425,0,1
l1426,0,1
l1427,0,1
l1428,0,2
l1429,0,5
l1430,0,19
l1431,0,1
l1432,0,1
l1433,0,1
l1434,0,16
l1435,0,2
l1436,0,4
l1437,0,4
l1438,0,12
l144,2,4
l1440,0,2
l1441,0,3
l1442,0,2
l1443,0,2
l1446,0,1
l1447,0,2
l1449,0,1
l145,1,66
l1450,0,2
l1451,0,2
l1452,0,1
l1453,0,1
l1454,0,1
l1455,0,5
l1457,0,5
l1459,0,1
l146,2,2
l1460,0,1
l1461,0,3
l1462,0,1
l1463,0,3
l1464,0,2
l1465,0,1
l1466,0,1
l1467,0,1
l1468,0,3
l147,1,4
l1470,0,3
l1471,0,8
l1472,0,3
l1473,0,3
l1474,0,1
l1477,0,2
l1478,0,2
l1479,0,2
l1480,0,1
l1481,0,1
l1482,0,4
l1483,0,11
l1484,0,1
l1486,0,10
l1487,0,1
l1488,0,2
l1489,0,3
l1490,0,1
l1491,0,4
l1493,0,2
l1494,0,2
l1495,0,2
l1496,0,1
l1497,0,10
l1498,0,1
l1499,0,1
l15,8,191
l150,4,94
l1500,0,1
l1501,0,2
l1502,0,3
l1503,0,3
l1504,0,3
l1505,0,1
l1506,0,2
l1508,0,2
l1509,0,5
l151,2,12
l1510,0,1
l1511,0,1
l1513,0,2
l1514,0,5
l1515,0,5
l1516,0,4
l1517,0,8
l1518,0,2
l1519,0,1
l152,1,9
l1520,0,1
l1521,0,13
l1522,0,2
l1523,0,3
l1524,0,1
l1525,0,2
l1527,0,1
l1528,0,3
l1529,0,2
l153,25,28
l1530,0,6
l1531,0,6
l1532,0,3
l1533,0,4
l1534,0,9
l1535,0,1
l1537,0,1
l1538,0,3
l1541,0,1
l1542,0,1
l1543,0,1
l1544,0,1
l1545,0,1
l1546,0,1
l1547,0,1
l1548,0,1
l1549,0,1
l155,0,1
l1550,0,1
l1551,0,1
l1552,0,7
l1554,0,2
l1555,0,1
l1556,0,1
l1557,0,1
l1558,0,10
l1559,0,2
l156,5,5
l1560,0,1
l1561,0,2
l1562,0,5
l1563,0,1
l1564,0,28
l1566,0,1
l1567,0,3
l1568,0,3
l1569,0,2
l157,98,762
l1570,0,6
l1571,0,21
l1572,0,1
l1573,0,14
l1574,0,1
l1575,0,1
l1576,0,1
l1577,0,1
l1578,0,1
l1579,0,11
l158,0,15
l1580,0,1
l1582,0,1
l1583,0,1
l1584,0,1
l1585,0,1
l1586,0,3
l1587,0,1
l1588,0,1
l1589,0,6
l159,20,84
l1591,0,1
l1592,0,1
l1594,0,1
l1595,0,2
l1596,0,8
l1597,0,1
l1598,0,2
l1599,0,1
l160,6,155
l1600,0,1
l1601,0,2
l1602,0,1
l1603,0,28
l1604,0,1
l1605,0,7
l1606,0,4
l1607,0,4
l1608,0,4
l1609,0,4
l161,1,8
l1610,0,1
l1611,0,1
l1612,0,1
l1613,0,1
l1614,0,1
l1615,0,2
l1616,0,1
l1617,0,1
l1618,0,20
l1619,0,1
l162,2,3
l1620,0,1
l1621,0,2
l1622,0,1
l1623,0,1
l1625,0,2
l1626,0,1
l1627,0,1
l1628,0,1
l1629,0,1
l1631,0,1
l1632,0,1
l1633,0,1
l1635,0,1
l1636,0,5
l1637,0,9
l1639,0,5
l164,2,2
l1640,0,6
l1641,0,2
l1642,0,1
l1643,0,1
l1644,0,1
l1646,0,2
l1647,0,4
l1648,0,2
l1649,0,3
l165,3,45
l1652,0,10
l1653,0,7
l1654,0,2
l1656,0,2
l1657,0,1
l1659,0,1
l166,5,11
l1660,0,1
l1661,0,1
l1662,0,1
l1663,0,1
l1664,0,3
l1665,0,2
l1666,0,5
l1667,0,1
l1668,0,3
l1669,0,1
l167,711,1495
l1670,0,3
l1671,0,5
l1672,0,2
l1674,0,1
l1675,0,4
l1676,0,6
l1677,0,1
l1678,0,10
l1679,0,1
l168,0,46
l1681,0,10
l1682,0,30
l1683,0,4
l1684,0,1
l1685,0,4
l1686,0,1
l1687,0,2
l1689,0,1
l169,1,5
l1690,0,8
l1691,0,1
l1692,0,1
l1693,0,1
l1694,0,1
l1695,0,1
l1696,0,1
l1697,0,1
l1698,0,1
l1699,0,1
l17,1,39
l170,1,5
l1700,0,1
l1701,0,1
l1702,0,23
l1703,0,39
l1704,0,2
l1706,0,6
l1707,0,1
l1708,0,3
l1709,0,2
l171,9,32
l1710,0,1
l1711,0,1
l1712,0,2
l1713,0,1
l1714,0,2
l1716,0,14
l1717,0,1
l1718,0,2
l1719,0,5
l172,1,1
l1720,0,4
l1721,0,1
l1722,0,1
l1725,0,22
l1726,0,1
l1727,0,2
l1728,0,13
l1729,0,1
l173,17,22
l1730,0,1
l1731,0,5
l1732,0,2
l1733,0,1
l1734,0,1
l1735,0,1
l1736,0,16
l1737,0,1
l1738,0,5
l1739,0,2
l1740,0,3
l1741,0,1
l1743,0,2
l1744,0,1
l1748,0,2
l1749,0,1
l1750,0,32
l1751,0,2
l1752,0,1
l1753,0,1
l1754,0,6
l1755,0,2
l1756,0,2
l1757,0,1
l1758,0,1
l1759,0,1
l176,236,338
l1760,0,1
l1762,0,1
l1763,0,1
l1765,0,13
l1766,0,3
l1767,0,7
l1768,0,1
l177,3,23
l1770,0,1
l1771,0,1
l1772,0,14
l1773,0,3
l1774,0,1
l1775,0,1
l1776,0,2
l1777,0,5
l1778,0,1
l1779,0,7
l1780,0,1
l1781,0,2
l1782,0,3
l1783,0,1
l1784,0,2
l1785,0,1
l1786,0,3
l1787,0,3
l1788,0,13
l1789,0,1
l1790,0,1
l1791,0,1
l1792,0,3
l1794,0,1
l1795,0,1
l1797,0,1
l1798,0,1
l1799,0,1
l18,452,1749
l180,1,3
l1800,0,1
l1801,0,1
l1802,0,4
l1803,0,1
l1804,0,2
l1805,0,11
l1807,0,1
l1808,0,1
l1809,0,1
l1810,0,2
l1811,0,16
l1813,0,3
l1814,0,3
l1816,0,1
l1817,0,1
l1818,0,2
l1819,0,1
l1821,0,3
l1822,0,2
l1823,0,1
l1824,0,1
l1825,0,1
l1826,0,4
l1827,0,3
l1828,0,4
l1829,0,2
l1830,0,1
l1831,0,1
l1832,0,2
l1833,0,1
l1834,0,1
l1835,0,1
l1836,0,1
l1837,0,2
l1838,0,1
l1839,0,7
l184,65,86
l1840,0,1
l1841,0,17
l1842,0,2
l1844,0,1
l1845,0,1
l1846,0,1
l1847,0,1
l1848,0,1
l1849,0,2
l185,5,25
l1850,0,1
l1851,0,2
l1852,0,1
l1853,0,1
l1854,0,8
l1855,0,16
l1856,0,1
l1857,0,1
l1858,0,1
l1859,0,1
l186,16,16
l1860,0,16
l1861,0,1
l1862,0,12
l1863,0,7
l1864,0,2
l1865,0,1
l1866,0,3
l1867,0,17
l1868,0,1
l1869,0,1
l187,1,24
l1870,0,1
l1871,0,4
l1873,0,1
l1874,0,1
l1875,0,16
l1876,0,2
l1878,0,1
l1879,0,3
l188,1,2
l1880,0,3
l1881,0,1
l1882,0,1
l1883,0,1
l1884,0,8
l1885,0,2
l1886,0,1
l1887,0,20
l1888,0,1
l1889,0,2
l189,4,5
l1890,0,1
l1891,0,2
l1894,0,2
l1895,0,8
l1897,0,2
l1898,0,7
l1899,0,1
l19,1,6
l190,1,14
l1900,0,1
l1901,0,1
l1902,0,1
l1903,0,3
l1904,0,2
l1905,0,2
l1907,0,51
l1908,0,1
l1909,0,6
l191,1,3
l1910,0,1
l1911,0,4
l1912,0,3
l1913,0,11
l1914,0,1
l1915,0,4
l1916,0,3
l1917,0,1
l1918,0,1
l1919,0,1
l1920,0,5
l1921,0,1
l1922,0,9
l1923,0,1
l1924,0,1
l1925,0,1
l1926,0,3
l1927,0,1
l1928,0,1
l1929,0,1
l193,6,9
l1930,0,1
l1931,0,13
l1932,0,1
l1933,0,1
l1934,0,2
l1935,0,4
l1936,0,26
l1938,0,1
l1939,0,6
l194,1,1
l1940,0,1
l1941,0,3
l1942,0,3
l1944,0,13
l1945,0,1
l1946,0,1
l1948,0,1
l1949,0,1
l195,6,22
l1950,0,7
l1952,0,3
l1953,0,1
l1954,0,1
l1955,0,1
l1956,0,31
l1957,0,1
l1958,0,1
l1959,0,1
l196,1,1
l1960,0,5
l1961,0,1
l1962,0,3
l1963,0,1
l1964,0,1
l1965,0,1
l1966,0,1
l1967,0,3
l1968,0,1
l1969,0,1
l1971,0,4
l1973,0,1
l1974,0,1
l1975,0,1
l1978,0,1
l1979,0,1
l198,2,2
l1980,0,1
l1981,0,1
l1982,0,1
l1983,0,1
l1984,0,1
l1985,0,2
l1986,0,2
l1987,0,1
l1988,0,1
l1989,0,2
l199,1,37
l1990,0,1
l1991,0,1
l1992,0,2
l1993,0,1
l1995,0,4
l1996,0,2
l1997,0,4
l1998,0,2
l1999,0,1
l2,45,180
l20,0,343
l200,9,9
l2000,0,1
l2001,0,3
l2002,0,1
l2003,0,5
l2004,0,1
l2005,0,1
l2006,0,2
l2007,0,2
l2008,0,5
l2009,0,1
l2010,0,5
l2011,0,1
l2012,0,20
l2013,0,9
l2014,0,1
l2015,0,2
l2016,0,1
l2017,0,1
l2018,0,8
l2019,0,1
l202,1,7
l2020,0,1
l2021,0,1
l2022,0,1
l2023,0,2
l2024,0,7
l2025,0,1
l2026,0,1
l2027,0,1
l2028,0,2
l2029,0,2
l203,3,8
l2030,0,1
l2031,0,1
l2032,0,3
l2033,0,8
l2034,0,1
l2035,0,2
l2036,0,1
l2038,0,1
l204,3,47
l2040,0,2
l2041,0,1
l2042,0,4
l2043,0,1
l2044,0,1
l2045,0,2
l2046,0,1
l2048,0,2
l2049,0,2
l205,0,5
l2050,0,6
l2051,0,1
l2052,0,2
l2054,0,1
l2055,0,1
l2056,0,1
l2057,0,1
l2058,0,4
l2059,0,1
l206,4,4
l2060,0,1
l2061,0,2
l2062,0,1
l2063,0,3
l2064,0,1
l2065,0,3
l2066,0,2
l2067,0,3
l2068,0,1
l207,1,7
l2070,0,1
l2071,0,1
l2072,0,4
l2074,0,15
l2075,0,6
l2077,0,1
l2078,0,6
l2079,0,1
l208,5,5
l2080,0,1
l2081,0,4
l2082,0,1
l2083,0,1
l2084,0,1
l2085,0,1
l2087,0,1
l2088,0,1
l2089,0,1
l209,3,5
l2090,0,1
l2092,0,3
l2093,0,3
l2094,0,1
l2095,0,1
l2096,0,13
l2097,0,2
l2098,0,1
l2099,0,12
l21,99,797
l210,274,561
l2100,0,16
l2102,0,1
l2103,0,1
l2104,0,1
l2105,0,1
l2106,0,2
l2107,0,3
l2108,0,2
l2109,0,1
l211,2,3
l2110,0,23
l2111,0,1
l2112,0,1
l2114,0,1
l2116,0,2
l2117,0,1
l2118,0,3
l2119,0,1
l212,1,6
l2120,0,3
l2121,0,1
l2122,0,22
l2124,0,1
l2125,0,3
l2126,0,66
l2127,0,2
l2128,0,1
l2129,0,1
l213,0,264
l2130,0,1
l2131,0,42
l2132,0,1
l2133,0,1
l2134,0,1
l2135,0,1
l2136,0,1
l2137,0,5
l2138,0,3
l2139,0,1
l214,1,2
l2140,0,1
l2141,0,1
l2142,0,3
l2143,0,1
l2144,0,2
l2146,0,2
l2147,0,2
l2148,0,1
l2149,0,1
l215,1,4
l2150,0,1
l2151,0,1
l2152,0,1
l2153,0,2
l2154,0,6
l2155,0,1
l2156,0,1
l2158,0,1
l2159,0,1
l216,1,10
l2160,0,3
l2161,0,1
l2162,0,1
l2163,0,1
l2164,0,2
l2165,0,23
l2166,0,1
l2167,0,2
l2168,0,1
l2169,0,1
l217,1,26
l2170,0,1
l2171,0,2
l2172,0,3
l2173,0,1
l2174,0,3
l2175,0,1
l2176,0,3
l2177,0,1
l2178,0,12
l2179,0,1
l218,2,2
l2180,0,22
l2182,0,1
l2183,0,1
l2184,0,1
l2185,0,1
l2187,0,1
l2188,0,1
l2189,0,3
l219,1,3
l2190,0,8
l2191,0,1
l2192,0,1
l2193,0,1
l2194,0,1
l2195,0,3
l2196,0,1
l2197,0,1
l2198,0,2
l2199,0,1
l22,2,2
l2200,0,2
l2201,0,2
l2202,0,5
l2203,0,1
l2204,0,6
l2205,0,1
l2206,0,1
l2207,0,1
l2208,0,1
l2209,0,2
l221,1,1
l2210,0,1
l2211,0,1
l2212,0,1
l2213,0,2
l2214,0,1
l2215,0,4
l2216,0,1
l2217,0,1
l2218,0,1
l2219,0,13
l222,1,13
l2220,0,1
l2221,0,1
l2222,0,1
l2223,0,1
l2224,0,1
l2225,0,3
l2226,0,1
l2227,0,1
l2228,0,1
l2229,0,1
l223,1,1
l2230,0,1
l2231,0,2
l2232,0,1
l2234,0,4
l2235,0,23
l2236,0,1
l2237,0,2
l2238,0,1
l2239,0,1
l2240,0,1
l2241,0,3
l2242,0,1
l2243,0,5
l2244,0,2
l2245,0,8
l2247,0,1
l2248,0,1
l2249,0,1
l225,1,7
l2250,0,1
l2251,0,3
l2252,0,2
l2253,0,3
l2254,0,1
l2256,0,1
l2257,0,1
l2259,0,3
l226,2,5
l2260,0,2
l2261,0,1
l2263,0,1
l2264,0,1
l2265,0,1
l2266,0,1
l2267,0,1
l2268,0,1
l2269,0,1
l2270,0,1
l2271,0,1
l2272,0,1
l2273,0,2
l2274,0,1
l2275,0,2
l2276,0,2
l2277,0,1
l2278,0,1
l2279,0,2
l228,1,6
l2280,0,6
l2282,0,4
l2283,0,11
l2284,0,2
l2285,0,2
l2286,0,10
l2287,0,1
l2288,0,1
l2289,0,3
l229,1,9
l2290,0,1
l2291,0,2
l2292,0,2
l2294,0,3
l2295,0,1
l2296,0,8
l2297,0,2
l2298,0,1
l2299,0,1
l230,1,1
l2300,0,1
l2301,0,3
l2302,0,3
l2303,0,1
l2304,0,1
l2305,0,4
l2308,0,2
l231,1,89
l2311,0,2
l2313,0,9
l2314,0,1
l2315,0,1
l2316,0,1
l2317,0,1
l2318,0,1
l2319,0,1
l232,3,106
l2320,0,2
l2322,0,3
l2323,0,1
l2324,0,1
l2325,0,1
l2326,2,3
l2327,0,2
l2328,0,1
l2329,0,1
l2330,0,3
l2331,0,1
l2332,0,1
l2333,0,3
l2334,0,1
l2335,0,1
l2336,0,1
l2337,0,1
l2339,0,2
l234,7,87
l2340,0,5
l2341,0,1
l2343,0,1
l2344,0,2
l2345,0,3
l2346,0,2
l2347,0,2
l2348,0,4
l2349,0,2
l2350,0,3
l2351,0,4
l2352,0,7
l2354,0,1
l2355,0,1
l2356,0,1
l2357,0,1
l2358,0,2
l2359,0,1
l236,1,1
l2360,0,1
l2361,0,2
l2362,0,1
l2363,0,2
l2364,0,1
l2365,0,1
l2366,0,1
l2367,0,3
l2368,0,1
l2369,0,1
l237,4,4
l2370,0,6
l2371,0,1
l2372,0,1
l2373,0,1
l2374,0,1
l2375,0,1
l2376,0,2
l2377,0,2
l2378,0,1
l2379,0,2
l238,1,1
l2380,0,2
l2382,0,1
l2383,0,3
l2384,0,1
l2385,0,1
l2386,0,1
l2387,0,1
l2388,0,2
l2389,0,1
l239,1,1
l2390,0,1
l2391,0,1
l2392,0,2
l2393,0,1
l2394,0,1
l2395,0,2
l2396,0,22
l2397,0,1
l2398,0,1
l2399,0,3
l24,2,13
l240,1,8
l2401,0,4
l2404,0,6
l2405,0,1
l2406,0,1
l2407,0,3
l2409,0,1
l2410,0,2
l2411,0,2
l2412,0,7
l2413,0,1
l2414,0,3
l2415,0,1
l2416,0,1
l2417,0,1
l2418,0,6
l2419,0,1
l242,52,298
l2420,0,1
l2421,0,1
l2422,0,1
l2423,0,1
l2424,0,3
l2425,0,1
l2426,0,1
l2427,0,1
l2428,0,12
l2429,0,1
l243,1,2
l2430,0,1
l2431,0,1
l2432,0,1
l2433,0,1
l2434,0,3
l2435,0,1
l2436,0,2
l2437,0,1
l2438,0,1
l2439,0,1
l244,28,93
l2440,0,3
l2441,0,3
l2443,0,3
l2444,0,1
l2445,0,9
l2446,0,1
l2448,0,431
l2449,0,143
l245,17,45
l2450,0,167
l2451,0,59
l2453,0,34
l2454,0,9
l2456,0,10
l2457,0,6
l2458,0,1
l2459,0,138
l246,1,1
l2466,0,4
l2467,0,1
l2469,0,94
l247,3,5
l2471,0,9
l2472,0,407
l2477,0,133
l2478,0,268
l2479,0,1
l248,2,13
l2480,0,51
l2481,0,247
l2482,0,2
l2483,0,38
l2484,0,5
l2485,0,8
l2486,0,11
l2487,0,1
l2488,0,2
l2489,0,9
l249,1,1
l2495,0,7
l2499,0,1
l25,1,3
l250,1,5
l2500,0,1
l2501,0,2
l2506,0,5
l2507,0,37
l2508,0,1
l251,1,2
l2510,0,754
l2511,0,7
l2514,0,1
l2515,0,2
l252,0,11
l2520,0,31
l2522,0,5
l2523,0,9
l2524,0,218
l2525,0,1
l2526,0,1
l2527,0,2
l2528,0,64
l2529,0,71
l253,1,3
l2530,0,21
l2531,0,36
l2532,0,5
l2534,0,6
l2536,0,44
l2541,0,1
l2542,0,72
l2545,0,24
l2547,0,1
l2548,0,13
l2549,0,43
l2550,0,7
l2551,0,4
l2552,0,2
l2553,0,2
l2554,0,2
l2556,0,36
l2557,0,104
l2559,0,3
l256,1,3
l2561,0,2
l2562,0,69
l2563,0,1
l2566,0,5
l2568,0,3
l2569,0,1
l257,467,1232
l2570,0,2
l2571,0,2
l2572,0,6
l2573,0,9
l2574,0,22
l2575,0,3
l2576,0,6
l2577,0,1
l2579,0,1
l258,0,5
l2580,0,4
l2581,0,23
l2582,0,28
l2583,0,1
l2584,0,3
l2585,0,4
l2586,0,7
l2587,0,1
l2588,0,3
l2589,0,58
l2590,0,21
l2591,0,1
l2592,0,25
l2593,0,4
l2594,0,1
l2595,0,11
